title_ru,page_num,title_en,href
Кризис каждый день,116,Bubblegum Crisis,https://shikimori.one/animes/1347-bubblegum-crisis
Сэнкоролл 2,116,Cencoroll Connect,https://shikimori.one/animes/9488-cencoroll-connect
Киборг 009,116,Cyborg 009: The Cyborg Soldier,https://shikimori.one/animes/1678-cyborg-009-the-cyborg-soldier
Детектив Конан OVA 07: Вызов от Агасы! Агаса против Конана и его команды,116,Detective Conan OVA 07: A Challenge from Agasa! Agasa vs. Conan and the Detective Boys,https://shikimori.one/animes/2597-detective-conan-ova-07-a-challenge-from-agasa-agasa-vs-conan-and-the-detective-boys
Судьба/Девочка-волшебница Иллия 2: Продолжение,116,Fate/kaleid liner Prisma☆Illya 2wei Herz!,https://shikimori.one/animes/z27525-fate-kaleid-liner-prisma-illya-2wei-herz
Принцессы-близнецы с Таинственной Планеты,116,Fushigiboshi no☆Futagohime,https://shikimori.one/animes/505-fushigiboshi-no-futagohime
Сборник историй Госё Аоямы,117,Gosho Aoyama's Collection of Short Stories,https://shikimori.one/animes/5578-gosho-aoyama-s-collection-of-short-stories
Огнём и мечом,117,Gun x Sword,https://shikimori.one/animes/411-gun-x-sword
Нахальный принц и кошка-несмеяна,117,Hentai Ouji to Warawanai Neko.,https://shikimori.one/animes/15225-hentai-ouji-to-warawanai-neko
Адский полицейский,117,Inferno Cop,https://shikimori.one/animes/16774-inferno-cop
Инуками!,117,Inukami!,https://shikimori.one/animes/z940-inukami
Полиция будущего,117,Kidou Keisatsu Patlabor,https://shikimori.one/animes/1288-kidou-keisatsu-patlabor
Златовласый Гаш Белл: 101-я демоническая книга,117,Konjiki no Gash Bell!!: 101 Banme no Mamono,https://shikimori.one/animes/844-konjiki-no-gash-bell-101-banme-no-mamono
Маленький Немо,117,Little Nemo,https://shikimori.one/animes/2286-little-nemo
Волшебный учитель Нэгима! Загробный мир: Девочка-волшебница Юэ,117,Mahou Sensei Negima!: Mou Hitotsu no Sekai Extra - Mahou Shoujo Yue♥,https://shikimori.one/animes/10628-mahou-sensei-negima-mou-hitotsu-no-sekai-extra-mahou-shoujo-yue
Мазингер Зет,117,Mazinger Z,https://shikimori.one/animes/2253-mazinger-z
Мобильный воин Гандам: Удар молнии 2,117,Mobile Suit Gundam Thunderbolt 2nd Season,https://shikimori.one/animes/34391-mobile-suit-gundam-thunderbolt-2nd-season
"Проблемные дети приходят из иного мира, верно? Хроники горячих источников",117,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?: Onsen Manyuuki,https://shikimori.one/animes/16444-mondaiji-tachi-ga-isekai-kara-kuru-sou-desu-yo-onsen-manyuuki
Летняя буря!,117,Natsu no Arashi!,https://shikimori.one/animes/z5597-natsu-no-arashi
Встреча под летним снегом,117,Natsuyuki Rendezvous,https://shikimori.one/animes/x13585-natsuyuki-rendezvous
Ван-Пис: Проклятие Святого Меча,117,One Piece Movie 5: Norowareta Seiken,https://shikimori.one/animes/463-one-piece-movie-5-norowareta-seiken
Осомацу-сан (2016),117,Osomatsu-san: Ouma de Kobanashi,https://shikimori.one/animes/z34238-osomatsu-san-ouma-de-kobanashi
Планета,117,Planet With,https://shikimori.one/animes/37578-planet-with
Карнавал роботов,117,Robot Carnival,https://shikimori.one/animes/2182-robot-carnival
Саюки: Истоки - эпизод 4,117,Saiyuuki Gaiden: Kouga no Shou,https://shikimori.one/animes/17137-saiyuuki-gaiden-kouga-no-shou
"Прощай, Галактический экспресс 999: Терминал Андромеды",117,Sayonara Ginga Tetsudou 999: Andromeda Shuuchakueki,https://shikimori.one/animes/1302-sayonara-ginga-tetsudou-999-andromeda-shuuchakueki
Селектор: Заражение «WIXOSS»,118,Selector Infected WIXOSS,https://shikimori.one/animes/22273-selector-infected-wixoss
Рубаки: Революция,118,Slayers Revolution,https://shikimori.one/animes/4028-slayers-revolution
Хорошенькое лекарство: Улыбка — Всё перемешалось в книжках!,118,Smile Precure! Movie: Ehon no Naka wa Minna Chiguhagu!,https://shikimori.one/animes/15307-smile-precure-movie-ehon-no-naka-wa-minna-chiguhagu
Солти Рэй,118,Solty Rei,https://shikimori.one/animes/152-solty-rei
Бронированные воины Вотомы: Предательство,118,Soukou Kihei Votoms: Red Shoulder Document - Yabou no Roots,https://shikimori.one/animes/2585-soukou-kihei-votoms-red-shoulder-document-yabou-no-roots
Тимми Железный Кулак,118,Tekken Chinmi,https://shikimori.one/animes/4663-tekken-chinmi
Аниматрица,118,The Animatrix,https://shikimori.one/animes/1303-the-animatrix
Тондекеман: Путешествия во времени,118,Time Travel Tondekeman!,https://shikimori.one/animes/2820-time-travel-tondekeman
Токийская школа магов 2,118,Tokyo Majin Gakuen Kenpucho: Tou Dai Ni Maku,https://shikimori.one/animes/2683-tokyo-majin-gakuen-kenpucho-tou-dai-ni-maku
Предательство знает моё имя,118,Uragiri wa Boku no Namae wo Shitteiru,https://shikimori.one/animes/7058-uragiri-wa-boku-no-namae-wo-shitteiru
Клинок ведьм,118,Witchblade,https://shikimori.one/animes/935-witchblade
Высь,118,Air Movie,https://shikimori.one/animes/713-air-movie
Нелюдь OVA,118,Ajin OVA,https://shikimori.one/animes/32015-ajin-ova
Нежный укус OVA,118,Amagami SS OVA,https://shikimori.one/animes/z9117-amagami-ss-ova
Амантю!,118,Amanchu!,https://shikimori.one/animes/31771-amanchu
Как госпожа Вельзевул пожелает,118,Beelzebub-jou no Okinimesu mama.,https://shikimori.one/animes/37716-beelzebub-jou-no-okinimesu-mama
Чёрный Джек: Спешлы,118,Black Jack Specials: Inochi wo Meguru Yottsu no Kiseki,https://shikimori.one/animes/1373-black-jack-specials-inochi-wo-meguru-yottsu-no-kiseki
Бригадун: Марин и Мелан,118,Brigadoon: Marin to Melan,https://shikimori.one/animes/1450-brigadoon-marin-to-melan
Контроль,118,C: The Money of Soul and Possibility Control,https://shikimori.one/animes/10163-c-the-money-of-soul-and-possibility-control
Ханаан,118,Canaan,https://shikimori.one/animes/5356-canaan
Капитан Цубаса,119,Captain Tsubasa J,https://shikimori.one/animes/1674-captain-tsubasa-j
Детектив Конан OVA 05: Цель — Когоро! Секретное расследование,119,Detective Conan OVA 05: The Target is Kogoro! The Detective Boys' Secret Investigation,https://shikimori.one/animes/2515-detective-conan-ova-05-the-target-is-kogoro-the-detective-boys-secret-investigation
Детектив Конан: Конан против Кида — Угольно-чёрный снайпер,119,Detective Conan: Conan vs. Kid - Jet Black Sniper,https://shikimori.one/animes/9786-detective-conan-conan-vs-kid-jet-black-sniper
