title_en,href,title_ru,page_num
Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,https://shikimori.one/animes/11981-mahou-shoujo-madoka-magica-movie-3-hangyaku-no-monogatari,Девочка-волшебница Мадока★Волшебный фильм 3: История восстания,7
Shingeki no Kyojin,https://shikimori.one/animes/16498-shingeki-no-kyojin,Вторжение гигантов,7
Baccano!,https://shikimori.one/animes/z2251-baccano,Шумиха!,7
Barakamon,https://shikimori.one/animes/22789-barakamon,Баракамон,7
Kamisama Hajimemashita: Kako-hen,https://shikimori.one/animes/z30709-kamisama-hajimemashita-kako-hen,"Приятно познакомиться, Бог 2 OVA",7
Kaze no Tani no Nausicaa,https://shikimori.one/animes/572-kaze-no-tani-no-nausicaa,Навсикая из Долины ветров,7
Kingdom 2nd Season,https://shikimori.one/animes/17389-kingdom-2nd-season,Царство 2,7
Dr. Stone,https://shikimori.one/animes/z38691-dr-stone,Доктор Стоун,7
Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://shikimori.one/animes/37999-kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen,Госпожа Кагуя: в любви как на войне,7
Kizumonogatari I: Tekketsu-hen,https://shikimori.one/animes/z9260-kizumonogatari-i-tekketsu-hen,Истории ран. Часть 1: Железная кровь,8
Kuroko no Basket 3rd Season,https://shikimori.one/animes/24415-kuroko-no-basket-3rd-season,Баскетбол Куроко 3,8
Mo Dao Zu Shi 2nd Season,https://shikimori.one/animes/38450-mo-dao-zu-shi-2nd-season,Магистр дьявольского культа 2,8
Mononoke,https://shikimori.one/animes/2246-mononoke,Мононокэ,8
Natsume Yuujinchou Movie: Utsusemi ni Musubu,https://shikimori.one/animes/36538-natsume-yuujinchou-movie-utsusemi-ni-musubu,Тетрадь дружбы Нацумэ: Эфемерная связь,8
Shokugeki no Souma,https://shikimori.one/animes/28171-shokugeki-no-souma,Повар-боец Сома,8
Major S6,https://shikimori.one/animes/7655-major-s6,Мэйджор 6,8
Natsume Yuujinchou Roku Specials,https://shikimori.one/animes/36275-natsume-yuujinchou-roku-specials,Тетрадь дружбы Нацумэ 6: Спешлы,8
Perfect Blue,https://shikimori.one/animes/437-perfect-blue,Идеальная грусть,8
Psycho-Pass,https://shikimori.one/animes/z13601-psycho-pass,Психопаспорт,8
Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,https://shikimori.one/animes/z37450-seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai,Этот глупый свин не понимает мечту девочки-зайки,8
Grand Blue,https://shikimori.one/animes/37105-grand-blue,Необъятный океан,8
Mahou Shoujo Madoka★Magica,https://shikimori.one/animes/9756-mahou-shoujo-madoka-magica,Девочка-волшебница Мадока★Волшебство,8
Shingeki no Kyojin Season 2,https://shikimori.one/animes/25777-shingeki-no-kyojin-season-2,Вторжение гигантов 2,8
Shinsekai yori,https://shikimori.one/animes/z13125-shinsekai-yori,Из нового света,8
Uchuu Senkan Yamato 2199,https://shikimori.one/animes/12029-uchuu-senkan-yamato-2199,Космический линкор Ямато 2199,8
Bakemono no Ko,https://shikimori.one/animes/x28805-bakemono-no-ko,Ученик чудовища,8
Cowboy Bebop: Tengoku no Tobira,https://shikimori.one/animes/5-cowboy-bebop-tengoku-no-tobira,Ковбой Бибоп: Достучаться до небес,8
Fate/Zero,https://shikimori.one/animes/z10087-fate-zero,Судьба/Начало,8
Katanagatari,https://shikimori.one/animes/6594-katanagatari,Истории мечей,8
Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,https://shikimori.one/animes/11979-mahou-shoujo-madoka-magica-movie-2-eien-no-monogatari,Девочка-волшебница Мадока★Волшебный фильм 2:  История вечности,9
Major: World Series,https://shikimori.one/animes/11917-major-world-series,Мэйджор: Мировая серия,9
Ookami to Koushinryou II,https://shikimori.one/animes/5341-ookami-to-koushinryou-ii,Волчица и пряности II,9
Romeo no Aoi Sora,https://shikimori.one/animes/2559-romeo-no-aoi-sora,Голубые небеса Ромео,9
Sakamichi no Apollon,https://shikimori.one/animes/z12531-sakamichi-no-apollon,Дети на холме,9
Shirobako,https://shikimori.one/animes/z25835-shirobako,Белый ящик,9
Steins;Gate: Oukoubakko no Poriomania,https://shikimori.one/animes/z10863-steins-gate-oukoubakko-no-poriomania,Врата Штейна: Эгоистичная пориомания ,9
Evangelion: 2.0 You Can (Not) Advance,https://shikimori.one/animes/3784-evangelion-2-0-you-can-not-advance,Евангелион 2.22: Ты (не) пройдёшь,9
Quanzhi Gaoshou Specials,https://shikimori.one/animes/37078-quanzhi-gaoshou-specials,Аватар короля: Специальные выпуски,9
Shingeki no Kyojin: Kuinaki Sentaku,https://shikimori.one/animes/25781-shingeki-no-kyojin-kuinaki-sentaku,Вторжение гигантов: Выбор без сожалений,9
Tonari no Totoro,https://shikimori.one/animes/z523-tonari-no-totoro,Мой сосед Тоторо,9
Diamond no Ace: Second Season,https://shikimori.one/animes/z30230-diamond-no-ace-second-season,Путь аса 2,9
Kemono no Souja Erin,https://shikimori.one/animes/5420-kemono-no-souja-erin,Заклинательница зверей Эрин,9
Kino no Tabi: The Beautiful World,https://shikimori.one/animes/z486-kino-no-tabi-the-beautiful-world,Путешествие Кино: Прекрасный мир,9
Kuroko no Basket 2nd Season,https://shikimori.one/animes/16894-kuroko-no-basket-2nd-season,Баскетбол Куроко 2,9
Mobile Suit Gundam: The Origin,https://shikimori.one/animes/z10937-mobile-suit-gundam-the-origin,Мобильный воин Гандам: Происхождение,9
Natsume Yuujinchou: Itsuka Yuki no Hi ni,https://shikimori.one/animes/20651-natsume-yuujinchou-itsuka-yuki-no-hi-ni,Тетрадь дружбы Нацумэ: Однажды зимним днём,9
One Outs,https://shikimori.one/animes/5040-one-outs,Один на вылет,9
Fate/stay night: Unlimited Blade Works 2nd Season,https://shikimori.one/animes/z28701-fate-stay-night-unlimited-blade-works-2nd-season,Судьба/Ночь схватки: Бесконечный мир клинков 2,9
Nodame Cantabile,https://shikimori.one/animes/1698-nodame-cantabile,Нодамэ Кантабиле,9
Youjo Senki Movie,https://shikimori.one/animes/37055-youjo-senki-movie,Военная хроника маленькой девочки. Фильм,10
Bakemonogatari,https://shikimori.one/animes/y5081-bakemonogatari,Истории монстров,10
Hunter x Hunter: Yorkshin City Kanketsu-hen,https://shikimori.one/animes/z137-hunter-x-hunter-yorkshin-city-kanketsu-hen,Охотник х Охотник OVA,10
Magi: The Kingdom of Magic,https://shikimori.one/animes/z18115-magi-the-kingdom-of-magic,Маги: Королевство магии,10
Natsume Yuujinchou,https://shikimori.one/animes/4081-natsume-yuujinchou,Тетрадь дружбы Нацумэ,10
NHK ni Youkoso!,https://shikimori.one/animes/1210-nhk-ni-youkoso,Добро пожаловать в NHK,10
Tenkuu no Shiro Laputa,https://shikimori.one/animes/513-tenkuu-no-shiro-laputa,Небесный замок Лапута,10
Versailles no Bara,https://shikimori.one/animes/z338-versailles-no-bara,Роза Версаля,10
"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",https://shikimori.one/animes/37095-violet-evergarden-kitto-ai-wo-shiru-hi-ga-kuru-no-darou,"Вайолет Эвергарден: День, когда ты поймёшь, что я люблю тебя, обязательно наступит",10
Detective Conan Movie 06: The Phantom of Baker Street,https://shikimori.one/animes/1365-detective-conan-movie-06-the-phantom-of-baker-street,Детектив Конан: Призрак с Бейкер-Стрит,10
Gintama: Shiroyasha Koutan,https://shikimori.one/animes/z6945-gintama-shiroyasha-koutan,Гинтама: Рождение Белого Демона,10
Eiga K-On!,https://shikimori.one/animes/9617-eiga-k-on,Кэйон в кино!,10
Kuroshitsuji Movie: Book of the Atlantic,https://shikimori.one/animes/z31812-kuroshitsuji-movie-book-of-the-atlantic,Тёмный дворецкий: Глава об Атлантике,10
Natsume Yuujinchou Go Specials,https://shikimori.one/animes/34534-natsume-yuujinchou-go-specials,Тетрадь дружбы Нацумэ 5: Спешлы,10
Rurouni Kenshin: Meiji Kenkaku Romantan,https://shikimori.one/animes/z45-rurouni-kenshin-meiji-kenkaku-romantan,Бродяга Кэнсин,10
Shokugeki no Souma: Ni no Sara,https://shikimori.one/animes/32282-shokugeki-no-souma-ni-no-sara,Повар-боец Сома: Второе блюдо,10
Stranger: Mukou Hadan,https://shikimori.one/animes/2418-stranger-mukou-hadan,Меч чужака,10
Tsubasa: Tokyo Revelations,https://shikimori.one/animes/2685-tsubasa-tokyo-revelations,Хроника крыльев: Откровения Токио,10
Beck,https://shikimori.one/animes/57-beck,Бек ,10
Fate/stay night Movie: Heaven's Feel - I. Presage Flower,https://shikimori.one/animes/z25537-fate-stay-night-movie-heaven-s-feel-i-presage-flower,Судьба/Ночь схватки: Прикосновение небес,10
Kono Subarashii Sekai ni Shukufuku wo! 2,https://shikimori.one/animes/y32937-kono-subarashii-sekai-ni-shukufuku-wo-2,Этот замечательный мир! 2,11
Doukyuusei (Movie),https://shikimori.one/animes/30346-doukyuusei-movie,Одноклассник,11
Planetes,https://shikimori.one/animes/329-planetes,Странники,11
Re:Zero kara Hajimeru Isekai Seikatsu,https://shikimori.one/animes/z31240-re-zero-kara-hajimeru-isekai-seikatsu,Re:Zero. Жизнь с нуля в альтернативном мире,11
Toradora!,https://shikimori.one/animes/4224-toradora,Торадора!,11
