href,title_en,page_num,title_ru
https://shikimori.one/animes/37965-kaze-ga-tsuyoku-fuiteiru,Kaze ga Tsuyoku Fuiteiru,5,В ногу с ветром
https://shikimori.one/animes/10165-nichijou,Nichijou,5,Мелочи жизни
https://shikimori.one/animes/33255-saiki-kusuo-no-nan,Saiki Kusuo no Ψ-nan,6,Ох уж этот экстрасенс Сайки Кусуо!
https://shikimori.one/animes/205-samurai-champloo,Samurai Champloo,6,Самурай Чамплу
https://shikimori.one/animes/5028-major-s5,Major S5,6,Мэйджор 5
https://shikimori.one/animes/35760-shingeki-no-kyojin-season-3,Shingeki no Kyojin Season 3,6,Вторжение гигантов 3
https://shikimori.one/animes/9989-ano-hi-mita-hana-no-namae-wo-bokutachi-wa-mada-shiranai,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,6,Невиданный цветок
https://shikimori.one/animes/z21-one-piece,One Piece,6,Ван-Пис
https://shikimori.one/animes/24687-mushishi-zoku-shou-odoro-no-michi,Mushishi Zoku Shou: Odoro no Michi,6,Мастер муси: Следующая глава — Тернистый путь 
https://shikimori.one/animes/39741-violet-evergarden-gaiden-eien-to-jidou-shuki-ningyou,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,6,Вайолет Эвергарден: Вечность и призрак пера
https://shikimori.one/animes/36456-boku-no-hero-academia-3rd-season,Boku no Hero Academia 3rd Season,6,Моя геройская академия 3
https://shikimori.one/animes/5941-cross-game,Cross Game,6,Перекрёстная игра
https://shikimori.one/animes/33-kenpuu-denki-berserk,Kenpuu Denki Berserk,6,Берсерк
https://shikimori.one/animes/z33674-no-game-no-life-zero,No Game No Life: Zero,6,Нет игры — нет жизни: Начало
https://shikimori.one/animes/10162-usagi-drop,Usagi Drop,6,Брошенный кролик
https://shikimori.one/animes/z14397-chihayafuru-2,Chihayafuru 2,6,Яркая Тихая 2
https://shikimori.one/animes/5205-kara-no-kyoukai-7-satsujin-kousatsu-go,Kara no Kyoukai 7: Satsujin Kousatsu (Go),6,Граница пустоты 7: Теория убийства — Часть 2
https://shikimori.one/animes/22535-kiseijuu-sei-no-kakuritsu,Kiseijuu: Sei no Kakuritsu,6,Паразит: Учение о жизни
https://shikimori.one/animes/38889-kono-oto-tomare-2nd-season,Kono Oto Tomare! 2nd Season,6,Задержи этот звук! 2
https://shikimori.one/animes/877-nana,Nana,6,Нана
https://shikimori.one/animes/z31181-owarimonogatari,Owarimonogatari,6,История финала
https://shikimori.one/animes/35851-sayonara-no-asa-ni-yakusoku-no-hana-wo-kazarou,Sayonara no Asa ni Yakusoku no Hana wo Kazarou,6,Укрась прощальное утро цветами обещания
https://shikimori.one/animes/31646-3-gatsu-no-lion,3-gatsu no Lion,7,Мартовский лев
https://shikimori.one/animes/z31043-boku-dake-ga-inai-machi,Boku dake ga Inai Machi,7,"Город, в котором меня нет"
https://shikimori.one/animes/21899-gintama-yorinuki-gintama-san-on-theater-2d,Gintama: Yorinuki Gintama-san on Theater 2D,7,Гинтама: Лучшее из «Гинтамы» на Theater 2D
https://shikimori.one/animes/777-hellsing-ultimate,Hellsing Ultimate,7,Хеллсинг OVA
https://shikimori.one/animes/10408-hotarubi-no-mori-e,Hotarubi no Mori e,7,"В лес, где мерцают светлячки"
https://shikimori.one/animes/467-koukaku-kidoutai-stand-alone-complex,Koukaku Kidoutai: Stand Alone Complex,7,Призрак в доспехах: Синдром одиночки
https://shikimori.one/animes/392-yuu-yuu-hakusho,Yuu☆Yuu☆Hakusho,7,Отчёт о буйстве духов
https://shikimori.one/animes/10030-bakuman-2nd-season,Bakuman. 2nd Season,7,Бакуман 2
https://shikimori.one/animes/32366-gintama-aizome-kaori-hen,Gintama°: Aizome Kaori-hen,7,Гинтама 4: Любовные благовония
https://shikimori.one/animes/35557-houseki-no-kuni-tv,Houseki no Kuni (TV),7,Страна самоцветов
https://shikimori.one/animes/z136-hunter-x-hunter,Hunter x Hunter,7,Охотник х Охотник
https://shikimori.one/animes/11981-mahou-shoujo-madoka-magica-movie-3-hangyaku-no-monogatari,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,7,Девочка-волшебница Мадока★Волшебный фильм 3: История восстания
https://shikimori.one/animes/16498-shingeki-no-kyojin,Shingeki no Kyojin,7,Вторжение гигантов
https://shikimori.one/animes/z2251-baccano,Baccano!,7,Шумиха!
https://shikimori.one/animes/22789-barakamon,Barakamon,7,Баракамон
https://shikimori.one/animes/z30709-kamisama-hajimemashita-kako-hen,Kamisama Hajimemashita: Kako-hen,7,"Приятно познакомиться, Бог 2 OVA"
https://shikimori.one/animes/572-kaze-no-tani-no-nausicaa,Kaze no Tani no Nausicaa,7,Навсикая из Долины ветров
https://shikimori.one/animes/17389-kingdom-2nd-season,Kingdom 2nd Season,7,Царство 2
https://shikimori.one/animes/z38691-dr-stone,Dr. Stone,7,Доктор Стоун
https://shikimori.one/animes/37999-kaguya-sama-wa-kokurasetai-tensai-tachi-no-renai-zunousen,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,7,Госпожа Кагуя: в любви как на войне
https://shikimori.one/animes/z9260-kizumonogatari-i-tekketsu-hen,Kizumonogatari I: Tekketsu-hen,8,Истории ран. Часть 1: Железная кровь
https://shikimori.one/animes/24415-kuroko-no-basket-3rd-season,Kuroko no Basket 3rd Season,8,Баскетбол Куроко 3
https://shikimori.one/animes/38450-mo-dao-zu-shi-2nd-season,Mo Dao Zu Shi 2nd Season,8,Магистр дьявольского культа 2
https://shikimori.one/animes/2246-mononoke,Mononoke,8,Мононокэ
https://shikimori.one/animes/36538-natsume-yuujinchou-movie-utsusemi-ni-musubu,Natsume Yuujinchou Movie: Utsusemi ni Musubu,8,Тетрадь дружбы Нацумэ: Эфемерная связь
https://shikimori.one/animes/28171-shokugeki-no-souma,Shokugeki no Souma,8,Повар-боец Сома
https://shikimori.one/animes/7655-major-s6,Major S6,8,Мэйджор 6
https://shikimori.one/animes/36275-natsume-yuujinchou-roku-specials,Natsume Yuujinchou Roku Specials,8,Тетрадь дружбы Нацумэ 6: Спешлы
https://shikimori.one/animes/437-perfect-blue,Perfect Blue,8,Идеальная грусть
https://shikimori.one/animes/z13601-psycho-pass,Psycho-Pass,8,Психопаспорт
https://shikimori.one/animes/z37450-seishun-buta-yarou-wa-bunny-girl-senpai-no-yume-wo-minai,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,8,Этот глупый свин не понимает мечту девочки-зайки
https://shikimori.one/animes/37105-grand-blue,Grand Blue,8,Необъятный океан
